stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
317,8199,"Crabtree Blvd at Raleigh Blvd",,35.803517,-78.609129,,,,,,0
318,8200,"Rock Quarry Rd at Riverbrooke Dr",,35.742601,-78.576286,,,,,,0
319,8201,"Rock Quarry Rd at Rockwood Dr",,35.743041,-78.576924,,,,,,0
320,8202,"Rock Quarry Rd at Trassacks Dr",,35.743916,-78.579772,,,,,,0
321,8203,"Bennett St at Lion's Park",,35.795942,-78.617830,,,,,,0
322,8204,"Rock Quarry Rd at Holloway Rd",,35.744306,-78.580285,,,,,,0
323,8205,"Dennis Ave at Bennett St",,35.798746,-78.617377,,,,,,0
324,8206,"Timber Dr at Barksdale Dr",,35.803190,-78.612297,,,,,,0
325,8207,"Timber Dr at Crabtree Blvd",,35.805075,-78.612348,,,,,,0
326,8208,"Rock Quarry Rd at Sunnybrook Rd (SB)",,35.746838,-78.587629,,,,,,0
327,8209,"Rock Quarry Rd at Sunnybrook Rd (NB)",,35.746788,-78.586797,,,,,,0
328,8210,"Rock Quarry Rd at Rock Quarry Crossing",,35.747645,-78.592650,,,,,,0
329,8211,"Rock Quarry Rd at New Birch Dr (Farmington Square)",,35.747275,-78.598585,,,,,,0
330,8212,"Rock Quarry Rd at Southeast Raleigh High School",,35.747134,-78.601989,,,,,,0
331,8213,"Rock Quarry Rd at Compassionate Dr (NB)",,35.747319,-78.602155,,,,,,0
332,8214,"Rock Quarry Rd at Sanderford Rd",,35.750759,-78.611927,,,,,,0
333,8215,"Edwards Mill Rd at Wade Park Blvd (SB)",,35.804204,-78.726575,,,,,,0
334,8216,"Edwards Mill Rd at Wade Park Blvd (NB)",,35.804894,-78.725754,,,,,,0
335,8217,"Glascock St at State St",,35.792902,-78.620856,,,,,,0
336,8218,"Glascock St at Brookside Dr",,35.793078,-78.624731,,,,,,0
337,8219,"Glascock St at Clifton St",,35.793146,-78.627557,,,,,,0
338,8220,"Glascock St at Watauga St",,35.793200,-78.628640,,,,,,0
339,8221,"Edwards Mill Rd at Trinity Rd (NB)",,35.800873,-78.726718,,,,,,0
340,8222,"Edwards Mill Rd at Trinity Rd (Cardinal Gibbons HS",,35.800897,-78.726992,,,,,,0
341,8223,"Trinity Rd at Sunday Dr",,35.800281,-78.729137,,,,,,0
342,8224,"Edwards Mill Rd at Macon Pond Rd (Raleigh Orthopae",,35.821725,-78.709784,,,,,,0
343,8225,"Edwards Mill Rd at Duraleigh Rd",,35.823545,-78.707594,,,,,,0
344,8226,"Western Blvd at Merendino St",,35.785729,-78.705313,,,,,,0
345,8227,"Nowell Rd at Trinity Rd",,35.801044,-78.731685,,,,,,0
346,8228,"Hillsborough St at Glenwood Ave",,35.780870,-78.648550,,,,,,0
347,8229,"Peyton St at Louise St",,35.768410,-78.607000,,,,,,0
348,8230,"Peyton St at Brigham Rd",,35.766160,-78.605950,,,,,,0
349,8231,"Hillsborough St at St Marys St",,35.781033,-78.651203,,,,,,0
350,8232,"Hillsborough St at Mayo St (Saint Mary's School)",,35.781853,-78.653634,,,,,,0
351,8233,"Birch Ridge Dr at Poole Rd",,35.767120,-78.577580,,,,,,0
352,8234,"Hillsborough St at Park Ave (WB)",,35.783533,-78.656298,,,,,,0
353,8235,"Hillsborough St at Forest Rd (WB)",,35.784756,-78.659081,,,,,,0
354,8236,"Middle Branch Rd at Sunnybrook Rd (WB)",,35.765320,-78.580540,,,,,,0
355,8237,"Hillsborough St at Enterprise St (North Hall)",,35.786869,-78.664474,,,,,,0
356,8238,"Hillsborough St at Horne St (WB)",,35.787930,-78.668456,,,,,,0
357,8239,"Little John Rd at Weston St (WB)",,35.763170,-78.593810,,,,,,0
358,8240,"Hillsborough St at Brooks Ave (WB)",,35.788818,-78.672491,,,,,,0
359,8241,"Hillsborough St at Dixie Trail",,35.789423,-78.675338,,,,,,0
360,8242,"Dixie Trail at Clark Ave (NB)",,35.792828,-78.675660,,,,,,0
361,8243,"Dixie Trail at Fowler Ave",,35.795750,-78.675918,,,,,,0
362,8244,"Dixie Trail at Mayview Rd",,35.797512,-78.676509,,,,,,0
363,8245,"Dixie Trail at O'Berry St (NB)",,35.799733,-78.676256,,,,,,0
364,8246,"Wade Ave at Dogwood Ln",,35.801088,-78.680928,,,,,,0
365,8247,"Wade Ave at Faircloth St",,35.801132,-78.683318,,,,,,0
366,8248,"Ridge Rd at Wade Ave (NB)",,35.802663,-78.687422,,,,,,0
367,8249,"Ridge Rd at Lewis Farm Rd",,35.809345,-78.684786,,,,,,0
368,8250,"Ridge Rd at Darien Dr",,35.814600,-78.682530,,,,,,0
369,8251,"Lake Boone Tr at Thomas Rd",,35.816160,-78.683480,,,,,,0
370,8252,"Lake Boone Tr at Horton St",,35.815500,-78.689100,,,,,,0
371,8253,"Lake Boone Tr at Wycliff Rd",,35.815760,-78.695230,,,,,,0
372,8254,"Rex Hospital (Outbound)",,35.816910,-78.704585,,,,,,0
373,8255,"Duraleigh Rd at Edwards Mill Rd (NB)",,35.823140,-78.706000,,,,,,0
374,8256,"Edwards Mill Rd at Ed Dr",,35.825298,-78.705450,,,,,,0
375,8257,"Bell Dr at Edison Rd (NB)",,35.765860,-78.583900,,,,,,0
376,8258,"Cooper Rd at Bell Dr (SB)",,35.766910,-78.586400,,,,,,0
377,8259,"Little John Rd at Cooper Rd",,35.763750,-78.587850,,,,,,0
378,8260,"Little John Rd at Beverly Dr",,35.762930,-78.596140,,,,,,0
379,8261,"Beverly Dr at Bromley St (NB)",,35.766030,-78.595040,,,,,,0
380,8262,"Beverly Dr at Friar Tuck Rd (NB)",,35.769190,-78.594410,,,,,,0
381,8263,"Lake Boone Tr at Myron Dr",,35.815609,-78.693548,,,,,,0
